modelo,parametros,scaler,selector,r2,mae,rmse,dataset
SGDRegressor,"{""alpha"": ""0.0001"", ""max_iter"": ""1000"", ""modelo"": ""SGDRegressor"", ""penalty"": ""l1"", ""random_state"": ""42"", ""scaler"": ""minmax"", ""selector"": ""SelectKBest""}",minmax,SelectKBest,0.912956396058403,0.3993569307200023,0.5005383626638997,crop_yield.csv
SGDRegressor,"{""alpha"": ""0.01"", ""max_iter"": ""2000"", ""modelo"": ""SGDRegressor"", ""penalty"": ""l2"", ""random_state"": ""42"", ""scaler"": ""minmax"", ""selector"": ""SelectKBest""}",minmax,SelectKBest,0.9056280157193196,0.4159608193730149,0.5211832141173124,crop_yield.csv
SGDRegressor,"{""alpha"": ""0.01"", ""max_iter"": ""1000"", ""modelo"": ""SGDRegressor"", ""penalty"": ""l2"", ""random_state"": ""42"", ""scaler"": ""minmax"", ""selector"": ""SelectKBest""}",minmax,SelectKBest,0.9056280157193196,0.4159608193730149,0.5211832141173124,crop_yield.csv
SGDRegressor,"{""alpha"": ""0.0001"", ""max_iter"": ""2000"", ""modelo"": ""SGDRegressor"", ""penalty"": ""l2"", ""random_state"": ""42"", ""scaler"": ""minmax"", ""selector"": ""SelectKBest""}",minmax,SelectKBest,0.9129502517055808,0.3993759470023874,0.5005559872434968,crop_yield.csv
LGBMRegressor,"{""learning_rate"": ""0.1"", ""modelo"": ""LGBMRegressor"", ""num_leaves"": ""31"", ""n_estimators"": ""1600"", ""scaler"": ""minmax"", ""selector"": ""PCA""}",minmax,PCA,0.9120016694423072,0.4015278930752399,0.50327730735684,crop_yield.csv
LGBMRegressor,"{""learning_rate"": ""0.01"", ""modelo"": ""LGBMRegressor"", ""num_leaves"": ""31"", ""n_estimators"": ""1200"", ""scaler"": ""minmax"", ""selector"": ""PCA""}",minmax,PCA,0.912516688681118,0.4003444514058557,0.5018029007698487,crop_yield.csv
LGBMRegressor,"{""learning_rate"": ""0.05"", ""modelo"": ""LGBMRegressor"", ""num_leaves"": ""31"", ""n_estimators"": ""800"", ""scaler"": ""minmax"", ""selector"": ""PCA""}",minmax,PCA,0.9124787322908164,0.4004496052859962,0.501911446133671,crop_yield.csv
LGBMRegressor,"{""learning_rate"": ""0.05"", ""modelo"": ""LGBMRegressor"", ""num_leaves"": ""31"", ""n_estimators"": ""400"", ""scaler"": ""minmax"", ""selector"": ""PCA""}",minmax,PCA,0.9124803619234478,0.4004417964035303,0.5019070407787131,crop_yield.csv
LGBMRegressor,"{""learning_rate"": ""0.05"", ""modelo"": ""LGBMRegressor"", ""num_leaves"": ""31"", ""n_estimators"": ""200"", ""scaler"": ""minmax"", ""selector"": ""PCA""}",minmax,PCA,0.9124190013043426,0.4005759481750065,0.5020833725208748,crop_yield.csv
LGBMRegressor,"{""learning_rate"": ""0.01"", ""modelo"": ""LGBMRegressor"", ""num_leaves"": ""31"", ""n_estimators"": ""200"", ""scaler"": ""minmax"", ""selector"": ""PCA""}",minmax,PCA,0.8835897899046922,0.461706908316254,0.5788609566563857,crop_yield.csv
SGDRegressor,"{""alpha"": ""0.0001"", ""eta0"": ""0.01"", ""learning_rate"": ""adaptive"", ""loss"": ""squared_error"", ""modelo"": ""SGDRegressor"", ""penalty"": ""elasticnet"", ""scaler"": ""minmax"", ""selector"": ""PCA""}",minmax,PCA,0.3196515034604871,1.1854276605981044,1.3993811205735711,crop_yield.csv
SGDRegressor,"{""alpha"": ""0.0001"", ""eta0"": ""0.1"", ""learning_rate"": ""constant"", ""loss"": ""squared_error"", ""modelo"": ""SGDRegressor"", ""penalty"": ""elasticnet"", ""scaler"": ""minmax"", ""selector"": ""PCA""}",minmax,PCA,0.2763305986047802,1.2131022342681357,1.4429993353569786,crop_yield.csv
SGDRegressor,"{""alpha"": ""0.001"", ""eta0"": ""0.01"", ""learning_rate"": ""constant"", ""loss"": ""squared_error"", ""modelo"": ""SGDRegressor"", ""penalty"": ""l2"", ""scaler"": ""minmax"", ""selector"": ""PCA""}",minmax,PCA,0.3078726894495354,1.1930673775178309,1.411432534072408,crop_yield.csv
SGDRegressor,"{""alpha"": ""0.0001"", ""eta0"": ""0.01"", ""learning_rate"": ""constant"", ""loss"": ""squared_error"", ""modelo"": ""SGDRegressor"", ""penalty"": ""l2"", ""scaler"": ""minmax"", ""selector"": ""PCA""}",minmax,PCA,0.309027882947304,1.1922734393012495,1.4102572122207022,crop_yield.csv
